sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 1, tps: 13.00, reads: 195.95, writes: 51.99, response time: 94.67ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 1, tps: 14.00, reads: 195.01, writes: 56.00, response time: 124.35ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 1, tps: 14.00, reads: 197.00, writes: 60.00, response time: 81.71ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 1, tps: 15.00, reads: 203.00, writes: 56.00, response time: 80.64ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 1, tps: 15.00, reads: 205.00, writes: 60.00, response time: 85.10ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 1, tps: 14.00, reads: 208.00, writes: 58.00, response time: 93.69ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 1, tps: 16.00, reads: 216.00, writes: 62.00, response time: 87.14ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 1, tps: 15.00, reads: 216.00, writes: 60.00, response time: 78.17ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 1, tps: 15.00, reads: 208.00, writes: 60.00, response time: 83.89ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 1, tps: 15.00, reads: 214.00, writes: 63.00, response time: 85.33ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 1, tps: 16.00, reads: 220.01, writes: 61.00, response time: 88.03ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 1, tps: 15.00, reads: 214.00, writes: 60.00, response time: 75.50ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 1, tps: 15.00, reads: 210.00, writes: 64.00, response time: 76.59ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 1, tps: 16.00, reads: 223.99, writes: 60.00, response time: 81.00ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 1, tps: 15.00, reads: 210.01, writes: 60.00, response time: 79.28ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 1, tps: 16.00, reads: 210.99, writes: 64.00, response time: 77.01ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 1, tps: 15.00, reads: 220.00, writes: 60.00, response time: 78.80ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 1, tps: 16.00, reads: 219.00, writes: 64.00, response time: 75.18ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 1, tps: 16.00, reads: 229.00, writes: 64.00, response time: 66.38ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1, tps: 16.00, reads: 225.01, writes: 64.00, response time: 75.32ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 1, tps: 17.00, reads: 228.00, writes: 68.00, response time: 66.60ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 1, tps: 15.00, reads: 218.00, writes: 60.00, response time: 77.96ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 1, tps: 16.00, reads: 228.00, writes: 68.00, response time: 64.00ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 1, tps: 16.00, reads: 224.00, writes: 61.00, response time: 71.16ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 1, tps: 16.00, reads: 224.00, writes: 63.00, response time: 68.21ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 1, tps: 16.00, reads: 224.00, writes: 64.00, response time: 82.92ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 1, tps: 17.00, reads: 230.00, writes: 68.00, response time: 71.26ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 1, tps: 16.00, reads: 229.00, writes: 64.00, response time: 75.39ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 1, tps: 16.00, reads: 222.00, writes: 64.00, response time: 72.75ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1, tps: 16.00, reads: 229.00, writes: 64.00, response time: 80.45ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 1, tps: 17.00, reads: 235.00, writes: 68.00, response time: 72.23ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 1, tps: 17.00, reads: 228.00, writes: 68.00, response time: 65.75ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 1, tps: 16.00, reads: 237.01, writes: 64.00, response time: 80.64ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 1, tps: 16.00, reads: 222.99, writes: 64.00, response time: 73.05ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 1, tps: 15.00, reads: 207.00, writes: 60.00, response time: 155.51ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 1, tps: 16.00, reads: 223.01, writes: 64.00, response time: 74.76ms (99%), errors: 0.00, reconnects:  0.00
[  37s] threads: 1, tps: 16.00, reads: 228.99, writes: 64.00, response time: 76.14ms (99%), errors: 0.00, reconnects:  0.00
[  38s] threads: 1, tps: 17.00, reads: 227.00, writes: 68.00, response time: 67.91ms (99%), errors: 0.00, reconnects:  0.00
[  39s] threads: 1, tps: 16.00, reads: 234.00, writes: 64.00, response time: 68.64ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 1, tps: 17.00, reads: 235.00, writes: 68.00, response time: 71.41ms (99%), errors: 0.00, reconnects:  0.00
[  41s] threads: 1, tps: 16.00, reads: 226.00, writes: 64.00, response time: 82.27ms (99%), errors: 0.00, reconnects:  0.00
[  42s] threads: 1, tps: 17.00, reads: 226.00, writes: 68.00, response time: 67.85ms (99%), errors: 0.00, reconnects:  0.00
[  43s] threads: 1, tps: 15.00, reads: 224.00, writes: 64.00, response time: 82.57ms (99%), errors: 0.00, reconnects:  0.00
[  44s] threads: 1, tps: 17.00, reads: 238.00, writes: 68.00, response time: 64.33ms (99%), errors: 0.00, reconnects:  0.00
[  45s] threads: 1, tps: 16.00, reads: 223.00, writes: 60.00, response time: 113.00ms (99%), errors: 0.00, reconnects:  0.00
[  46s] threads: 1, tps: 17.00, reads: 235.00, writes: 68.00, response time: 66.52ms (99%), errors: 0.00, reconnects:  0.00
[  47s] threads: 1, tps: 17.00, reads: 241.00, writes: 68.00, response time: 64.27ms (99%), errors: 0.00, reconnects:  0.00
[  48s] threads: 1, tps: 17.00, reads: 238.00, writes: 68.00, response time: 67.89ms (99%), errors: 0.00, reconnects:  0.00
[  49s] threads: 1, tps: 16.00, reads: 225.00, writes: 65.00, response time: 71.58ms (99%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1, tps: 17.00, reads: 232.00, writes: 67.00, response time: 71.71ms (99%), errors: 0.00, reconnects:  0.00
[  51s] threads: 1, tps: 17.00, reads: 233.01, writes: 68.00, response time: 70.65ms (99%), errors: 0.00, reconnects:  0.00
[  52s] threads: 1, tps: 16.00, reads: 232.99, writes: 64.00, response time: 66.92ms (99%), errors: 0.00, reconnects:  0.00
[  53s] threads: 1, tps: 17.00, reads: 230.01, writes: 68.00, response time: 66.70ms (99%), errors: 0.00, reconnects:  0.00
[  54s] threads: 1, tps: 16.00, reads: 232.99, writes: 64.00, response time: 68.30ms (99%), errors: 0.00, reconnects:  0.00
[  55s] threads: 1, tps: 17.00, reads: 239.00, writes: 69.00, response time: 71.52ms (99%), errors: 0.00, reconnects:  0.00
[  56s] threads: 1, tps: 17.00, reads: 238.00, writes: 70.00, response time: 64.17ms (99%), errors: 0.00, reconnects:  0.00
[  57s] threads: 1, tps: 17.00, reads: 238.01, writes: 69.00, response time: 65.20ms (99%), errors: 0.00, reconnects:  0.00
[  58s] threads: 1, tps: 18.00, reads: 239.00, writes: 68.00, response time: 63.91ms (99%), errors: 0.00, reconnects:  0.00
