sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 64
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 64, tps: 1306.77, reads: 19189.67, writes: 5423.06, response time: 94.90ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 64, tps: 1558.05, reads: 21486.72, writes: 6040.20, response time: 82.77ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 64, tps: 1416.97, reads: 20044.59, writes: 5704.88, response time: 89.98ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 64, tps: 1495.96, reads: 21053.37, writes: 6148.82, response time: 81.88ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 64, tps: 1488.00, reads: 20744.94, writes: 5789.98, response time: 85.21ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 64, tps: 1536.04, reads: 21593.56, writes: 6330.16, response time: 82.50ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 64, tps: 1527.98, reads: 21392.79, writes: 6083.94, response time: 80.47ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 64, tps: 1522.02, reads: 21281.28, writes: 6008.08, response time: 85.28ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 64, tps: 1538.96, reads: 21578.44, writes: 6278.84, response time: 81.95ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 64, tps: 1651.09, reads: 22537.18, writes: 6359.33, response time: 77.56ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 64, tps: 1528.97, reads: 21929.58, writes: 6237.88, response time: 83.94ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 64, tps: 1592.98, reads: 22339.78, writes: 6477.94, response time: 78.73ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 64, tps: 1613.00, reads: 22525.06, writes: 6326.02, response time: 80.06ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 64, tps: 1613.00, reads: 22642.00, writes: 6525.00, response time: 76.68ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 64, tps: 1685.02, reads: 23278.25, writes: 6591.07, response time: 79.68ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 64, tps: 1587.02, reads: 22220.25, writes: 6326.07, response time: 79.94ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 64, tps: 1623.00, reads: 22364.05, writes: 6508.02, response time: 76.41ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 64, tps: 1651.00, reads: 23091.00, writes: 6616.00, response time: 77.84ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 64, tps: 1627.00, reads: 23432.02, writes: 6609.01, response time: 73.93ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 64, tps: 1678.96, reads: 23482.47, writes: 6665.85, response time: 70.99ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 64, tps: 1473.03, reads: 20151.41, writes: 5889.12, response time: 142.58ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 64, tps: 1687.00, reads: 23923.98, writes: 6764.99, response time: 72.95ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 64, tps: 1639.00, reads: 22620.03, writes: 6482.01, response time: 76.41ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 64, tps: 1649.00, reads: 23264.99, writes: 6656.00, response time: 71.30ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 64, tps: 1596.98, reads: 22538.75, writes: 6338.93, response time: 73.21ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 64, tps: 1609.02, reads: 22662.24, writes: 6550.07, response time: 74.02ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 64, tps: 1605.97, reads: 22485.61, writes: 6396.89, response time: 79.28ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 64, tps: 1579.04, reads: 22154.51, writes: 6391.15, response time: 83.97ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 64, tps: 1591.99, reads: 22178.83, writes: 6278.95, response time: 71.60ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 64, tps: 1588.01, reads: 22136.12, writes: 6310.03, response time: 74.36ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 64, tps: 1568.00, reads: 21770.03, writes: 6260.01, response time: 74.11ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 64, tps: 1569.99, reads: 22220.92, writes: 6289.98, response time: 79.11ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 64, tps: 1556.00, reads: 21900.05, writes: 6314.02, response time: 75.18ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 64, tps: 1560.00, reads: 21680.97, writes: 6199.99, response time: 76.41ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 64, tps: 1551.00, reads: 21672.06, writes: 6160.02, response time: 79.28ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 64, tps: 1593.00, reads: 22428.98, writes: 6423.00, response time: 74.78ms (99%), errors: 0.00, reconnects:  0.00
[  37s] threads: 64, tps: 1603.00, reads: 22154.99, writes: 6398.00, response time: 72.62ms (99%), errors: 0.00, reconnects:  0.00
[  38s] threads: 64, tps: 1547.97, reads: 21819.59, writes: 6175.88, response time: 78.78ms (99%), errors: 0.00, reconnects:  0.00
[  39s] threads: 64, tps: 1565.02, reads: 22034.34, writes: 6260.10, response time: 80.35ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 64, tps: 1623.00, reads: 22725.02, writes: 6526.01, response time: 74.20ms (99%), errors: 0.00, reconnects:  0.00
[  41s] threads: 64, tps: 1617.00, reads: 22405.05, writes: 6394.01, response time: 74.20ms (99%), errors: 0.00, reconnects:  0.00
[  42s] threads: 64, tps: 1550.00, reads: 21751.98, writes: 6186.99, response time: 76.39ms (99%), errors: 0.00, reconnects:  0.00
[  43s] threads: 64, tps: 1539.00, reads: 21598.01, writes: 6154.00, response time: 78.80ms (99%), errors: 0.00, reconnects:  0.00
[  44s] threads: 64, tps: 1541.99, reads: 21534.92, writes: 6178.98, response time: 86.70ms (99%), errors: 0.00, reconnects:  0.00
[  45s] threads: 64, tps: 1542.98, reads: 21853.70, writes: 6284.91, response time: 81.42ms (99%), errors: 0.00, reconnects:  0.00
[  46s] threads: 64, tps: 1587.02, reads: 22193.32, writes: 6299.09, response time: 79.47ms (99%), errors: 0.00, reconnects:  0.00
[  47s] threads: 64, tps: 1552.00, reads: 21447.02, writes: 6143.00, response time: 79.37ms (99%), errors: 0.00, reconnects:  0.00
[  48s] threads: 64, tps: 1603.00, reads: 22512.02, writes: 6402.01, response time: 78.43ms (99%), errors: 0.00, reconnects:  0.00
[  49s] threads: 64, tps: 1569.97, reads: 22060.54, writes: 6295.87, response time: 83.59ms (99%), errors: 0.00, reconnects:  0.00
[  50s] threads: 64, tps: 1524.00, reads: 21472.99, writes: 6214.00, response time: 79.06ms (99%), errors: 0.00, reconnects:  0.00
[  51s] threads: 64, tps: 1580.03, reads: 21814.40, writes: 6220.11, response time: 86.03ms (99%), errors: 0.00, reconnects:  0.00
[  52s] threads: 64, tps: 1590.96, reads: 22389.39, writes: 6407.82, response time: 78.24ms (99%), errors: 0.00, reconnects:  0.00
[  53s] threads: 64, tps: 1555.05, reads: 21900.66, writes: 6223.19, response time: 89.44ms (99%), errors: 0.00, reconnects:  0.00
[  54s] threads: 64, tps: 1591.97, reads: 22101.52, writes: 6297.86, response time: 83.81ms (99%), errors: 0.00, reconnects:  0.00
[  55s] threads: 64, tps: 1567.03, reads: 22026.49, writes: 6279.14, response time: 76.27ms (99%), errors: 0.00, reconnects:  0.00
[  56s] threads: 64, tps: 1589.96, reads: 22268.47, writes: 6350.85, response time: 82.08ms (99%), errors: 0.00, reconnects:  0.00
[  57s] threads: 64, tps: 1547.99, reads: 21755.80, writes: 6217.94, response time: 78.14ms (99%), errors: 0.00, reconnects:  0.00
[  58s] threads: 64, tps: 1562.03, reads: 21673.36, writes: 6209.10, response time: 85.77ms (99%), errors: 0.00, reconnects:  0.00
[  59s] threads: 64, tps: 1527.99, reads: 21369.83, writes: 6146.95, response time: 81.39ms (99%), errors: 0.00, reconnects:  0.00
[  60s] threads: 64, tps: 1599.03, reads: 22299.45, writes: 6364.13, response time: 79.73ms (99%), errors: 0.00, reconnects:  0.00
[  61s] threads: 64, tps: 1525.96, reads: 21598.49, writes: 6167.86, response time: 78.31ms (99%), errors: 0.00, reconnects:  0.00
[  62s] threads: 64, tps: 1591.04, reads: 22340.61, writes: 6346.17, response time: 80.91ms (99%), errors: 0.00, reconnects:  0.00
[  63s] threads: 64, tps: 1533.94, reads: 21510.22, writes: 6158.78, response time: 73.58ms (99%), errors: 0.00, reconnects:  0.00
[  64s] threads: 64, tps: 1605.04, reads: 22212.49, writes: 6396.14, response time: 71.84ms (99%), errors: 0.00, reconnects:  0.00
[  65s] threads: 64, tps: 1550.00, reads: 21969.01, writes: 6239.00, response time: 77.28ms (99%), errors: 0.00, reconnects:  0.00
[  66s] threads: 64, tps: 1593.02, reads: 22092.28, writes: 6314.08, response time: 76.30ms (99%), errors: 0.00, reconnects:  0.00
[  67s] threads: 64, tps: 1548.00, reads: 21765.02, writes: 6210.01, response time: 77.89ms (99%), errors: 0.00, reconnects:  0.00
[  68s] threads: 64, tps: 1577.97, reads: 22219.52, writes: 6318.86, response time: 78.61ms (99%), errors: 0.00, reconnects:  0.00
[  69s] threads: 64, tps: 1510.01, reads: 21081.12, writes: 6061.04, response time: 82.32ms (99%), errors: 0.00, reconnects:  0.00
[  70s] threads: 64, tps: 1590.02, reads: 22149.29, writes: 6293.08, response time: 75.34ms (99%), errors: 0.00, reconnects:  0.00
[  71s] threads: 64, tps: 1551.95, reads: 21735.32, writes: 6240.81, response time: 79.80ms (99%), errors: 0.00, reconnects:  0.00
[  72s] threads: 64, tps: 1589.05, reads: 22424.69, writes: 6407.20, response time: 73.96ms (99%), errors: 0.00, reconnects:  0.00
[  73s] threads: 64, tps: 1567.95, reads: 21867.27, writes: 6210.79, response time: 79.61ms (99%), errors: 0.00, reconnects:  0.00
[  74s] threads: 64, tps: 1584.05, reads: 22185.77, writes: 6372.22, response time: 72.75ms (99%), errors: 0.00, reconnects:  0.00
[  75s] threads: 64, tps: 1561.00, reads: 21609.03, writes: 6190.01, response time: 80.50ms (99%), errors: 0.00, reconnects:  0.00
[  76s] threads: 64, tps: 1543.96, reads: 21807.37, writes: 6214.82, response time: 86.59ms (99%), errors: 0.00, reconnects:  0.00
[  77s] threads: 64, tps: 1574.02, reads: 21726.29, writes: 6247.08, response time: 77.05ms (99%), errors: 0.00, reconnects:  0.00
[  78s] threads: 64, tps: 1537.02, reads: 21967.35, writes: 6245.10, response time: 78.50ms (99%), errors: 0.00, reconnects:  0.00
[  79s] threads: 64, tps: 1582.97, reads: 22093.54, writes: 6306.87, response time: 74.38ms (99%), errors: 0.00, reconnects:  0.00
[  80s] threads: 64, tps: 1552.03, reads: 21629.36, writes: 6214.10, response time: 79.61ms (99%), errors: 0.00, reconnects:  0.00
[  81s] threads: 64, tps: 1554.97, reads: 21580.60, writes: 6150.89, response time: 77.56ms (99%), errors: 0.00, reconnects:  0.00
[  82s] threads: 64, tps: 1563.01, reads: 22102.14, writes: 6297.04, response time: 79.49ms (99%), errors: 0.00, reconnects:  0.00
[  83s] threads: 64, tps: 1554.02, reads: 21800.31, writes: 6219.09, response time: 79.97ms (99%), errors: 0.00, reconnects:  0.00
[  84s] threads: 64, tps: 1538.00, reads: 21412.99, writes: 6153.00, response time: 78.61ms (99%), errors: 0.00, reconnects:  0.00
[  85s] threads: 64, tps: 1577.97, reads: 21812.62, writes: 6247.89, response time: 80.09ms (99%), errors: 0.00, reconnects:  0.00
[  86s] threads: 64, tps: 1534.00, reads: 21863.97, writes: 6177.99, response time: 86.93ms (99%), errors: 0.00, reconnects:  0.00
[  87s] threads: 64, tps: 1578.00, reads: 21848.01, writes: 6279.00, response time: 78.64ms (99%), errors: 0.00, reconnects:  0.00
[  88s] threads: 64, tps: 1542.98, reads: 21645.70, writes: 6205.91, response time: 78.83ms (99%), errors: 0.00, reconnects:  0.00
[  89s] threads: 64, tps: 1571.05, reads: 21907.71, writes: 6253.20, response time: 81.10ms (99%), errors: 0.00, reconnects:  0.00
[  90s] threads: 64, tps: 1476.97, reads: 20875.54, writes: 5948.87, response time: 101.82ms (99%), errors: 0.00, reconnects:  0.00
[  91s] threads: 64, tps: 1570.03, reads: 22000.48, writes: 6250.14, response time: 93.57ms (99%), errors: 0.00, reconnects:  0.00
[  92s] threads: 64, tps: 1541.97, reads: 21493.52, writes: 6187.86, response time: 84.39ms (99%), errors: 0.00, reconnects:  0.00
