sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 2
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 2, tps: 54.99, reads: 797.80, writes: 222.94, response time: 51.52ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 2, tps: 55.00, reads: 752.03, writes: 217.01, response time: 50.25ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 2, tps: 56.00, reads: 801.98, writes: 229.99, response time: 49.14ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 2, tps: 60.00, reads: 839.99, writes: 238.00, response time: 51.55ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 2, tps: 62.00, reads: 868.00, writes: 248.00, response time: 45.01ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 2, tps: 58.00, reads: 804.02, writes: 228.01, response time: 48.19ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 2, tps: 58.00, reads: 820.01, writes: 240.00, response time: 47.35ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 2, tps: 58.00, reads: 802.97, writes: 223.99, response time: 46.06ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 2, tps: 52.00, reads: 733.03, writes: 210.01, response time: 50.34ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 2, tps: 56.00, reads: 774.00, writes: 223.00, response time: 51.39ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 2, tps: 53.00, reads: 745.99, writes: 214.00, response time: 52.15ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 2, tps: 59.00, reads: 836.00, writes: 235.00, response time: 45.76ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 2, tps: 61.00, reads: 851.99, writes: 242.00, response time: 46.75ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 2, tps: 56.00, reads: 783.02, writes: 224.01, response time: 49.15ms (99%), errors: 0.00, reconnects:  0.00
