sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1024
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 1024, tps: 1023.81, reads: 20762.06, writes: 4095.22, response time: 835.58ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 1024, tps: 1118.92, reads: 20716.55, writes: 4726.67, response time: 737.97ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 1024, tps: 1888.07, reads: 17619.63, writes: 7542.27, response time: 768.86ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 1024, tps: 1138.05, reads: 20143.85, writes: 4646.19, response time: 807.79ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 1024, tps: 1132.96, reads: 20678.33, writes: 4278.86, response time: 869.00ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 1024, tps: 1052.03, reads: 16249.54, writes: 7047.23, response time: 789.15ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 1024, tps: 1936.90, reads: 20394.94, writes: 5032.74, response time: 789.15ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 1024, tps: 1106.05, reads: 20214.86, writes: 4336.18, response time: 833.58ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 1024, tps: 1053.98, reads: 16768.74, writes: 6050.91, response time: 847.93ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 1024, tps: 1872.00, reads: 18194.04, writes: 5946.01, response time: 816.79ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 1024, tps: 1132.01, reads: 20794.15, writes: 4383.03, response time: 889.79ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 1024, tps: 1092.02, reads: 17415.33, writes: 4767.09, response time: 822.18ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 1024, tps: 1829.99, reads: 17880.90, writes: 6873.96, response time: 818.01ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 1024, tps: 1108.00, reads: 20322.93, writes: 4656.98, response time: 791.51ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 1024, tps: 1187.00, reads: 18423.98, writes: 5123.00, response time: 827.86ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 1024, tps: 1656.00, reads: 17716.03, writes: 6320.01, response time: 775.57ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 1024, tps: 1231.00, reads: 20900.98, writes: 4897.00, response time: 827.86ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 1024, tps: 1199.03, reads: 17823.46, writes: 5153.13, response time: 808.52ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 1024, tps: 1644.99, reads: 18953.90, writes: 6196.97, response time: 815.57ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1024, tps: 1211.98, reads: 19011.75, writes: 4749.94, response time: 839.34ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 1024, tps: 1276.99, reads: 19452.83, writes: 5684.95, response time: 850.98ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 1024, tps: 1562.98, reads: 18578.79, writes: 5765.94, response time: 787.50ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 1024, tps: 1289.05, reads: 20096.73, writes: 5163.19, response time: 801.53ms (99%), errors: 0.00, reconnects:  0.00
