sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 596.89, reads: 8536.38, writes: 2423.54, response time: 42.46ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 620.02, reads: 8640.30, writes: 2470.08, response time: 38.74ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 628.00, reads: 8708.06, writes: 2493.02, response time: 37.77ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 631.98, reads: 8966.71, writes: 2526.92, response time: 39.74ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 627.02, reads: 8771.31, writes: 2510.09, response time: 37.89ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 614.97, reads: 8660.61, writes: 2506.89, response time: 42.43ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 635.02, reads: 8873.33, writes: 2514.09, response time: 38.81ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 629.00, reads: 8776.97, writes: 2494.99, response time: 42.64ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 630.02, reads: 8815.23, writes: 2518.06, response time: 39.10ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 628.98, reads: 8820.66, writes: 2527.90, response time: 39.67ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 643.00, reads: 8873.00, writes: 2558.00, response time: 41.33ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 629.01, reads: 8972.14, writes: 2555.04, response time: 39.69ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 641.00, reads: 8960.96, writes: 2549.99, response time: 43.28ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 629.00, reads: 8803.03, writes: 2510.01, response time: 41.85ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 638.00, reads: 8912.99, writes: 2560.00, response time: 41.02ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 619.99, reads: 8707.92, writes: 2494.98, response time: 48.30ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 641.00, reads: 8876.05, writes: 2527.01, response time: 40.13ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 614.00, reads: 8695.04, writes: 2489.01, response time: 41.84ms (99%), errors: 0.00, reconnects:  0.00
