sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 717.88, reads: 10227.30, writes: 2871.52, response time: 29.54ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 711.99, reads: 10014.84, writes: 2911.95, response time: 32.61ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 748.01, reads: 10463.19, writes: 2952.05, response time: 31.55ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 718.99, reads: 10074.93, writes: 2915.98, response time: 29.39ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 719.02, reads: 9950.25, writes: 2812.07, response time: 30.64ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 716.99, reads: 10014.79, writes: 2867.94, response time: 32.95ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 719.00, reads: 10062.93, writes: 2875.98, response time: 28.72ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 719.01, reads: 10204.09, writes: 2910.03, response time: 30.25ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 693.99, reads: 9719.80, writes: 2795.94, response time: 44.55ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 719.01, reads: 10066.20, writes: 2886.06, response time: 32.48ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 736.97, reads: 10180.65, writes: 2883.90, response time: 32.47ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 722.02, reads: 10159.23, writes: 2888.07, response time: 29.52ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 629.00, reads: 8817.05, writes: 2520.01, response time: 63.28ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 720.01, reads: 10153.10, writes: 2934.03, response time: 36.53ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 706.01, reads: 9808.14, writes: 2766.04, response time: 48.62ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 719.00, reads: 9946.07, writes: 2876.02, response time: 29.15ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 703.98, reads: 10053.65, writes: 2879.90, response time: 33.02ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 672.01, reads: 9408.16, writes: 2688.05, response time: 57.58ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 718.98, reads: 9885.71, writes: 2811.92, response time: 34.22ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 719.02, reads: 10153.28, writes: 2876.08, response time: 28.75ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 730.01, reads: 10244.16, writes: 2920.05, response time: 27.77ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 671.98, reads: 9476.73, writes: 2747.92, response time: 54.91ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 718.01, reads: 10003.12, writes: 2812.03, response time: 35.06ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 704.00, reads: 9894.02, writes: 2818.01, response time: 39.80ms (99%), errors: 0.00, reconnects:  0.00
