sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[   1s] threads: 1, tps: 63.99, reads: 896.84, writes: 255.95, response time: 22.37ms (99%), errors: 0.00, reconnects:  0.00
[   2s] threads: 1, tps: 69.00, reads: 966.04, writes: 276.01, response time: 19.38ms (99%), errors: 0.00, reconnects:  0.00
[   3s] threads: 1, tps: 70.00, reads: 987.00, writes: 280.00, response time: 20.25ms (99%), errors: 0.00, reconnects:  0.00
[   4s] threads: 1, tps: 71.00, reads: 993.00, writes: 284.00, response time: 16.48ms (99%), errors: 0.00, reconnects:  0.00
[   5s] threads: 1, tps: 58.00, reads: 818.98, writes: 232.99, response time: 18.12ms (99%), errors: 0.00, reconnects:  0.00
[   6s] threads: 1, tps: 67.00, reads: 937.01, writes: 267.00, response time: 18.11ms (99%), errors: 0.00, reconnects:  0.00
[   7s] threads: 1, tps: 70.00, reads: 981.00, writes: 284.00, response time: 20.84ms (99%), errors: 0.00, reconnects:  0.00
[   8s] threads: 1, tps: 70.00, reads: 975.01, writes: 276.00, response time: 19.55ms (99%), errors: 0.00, reconnects:  0.00
[   9s] threads: 1, tps: 70.00, reads: 976.99, writes: 280.00, response time: 18.63ms (99%), errors: 0.00, reconnects:  0.00
[  10s] threads: 1, tps: 70.00, reads: 988.01, writes: 282.00, response time: 17.05ms (99%), errors: 0.00, reconnects:  0.00
[  11s] threads: 1, tps: 70.00, reads: 975.01, writes: 278.00, response time: 21.90ms (99%), errors: 0.00, reconnects:  0.00
[  12s] threads: 1, tps: 71.00, reads: 998.98, writes: 288.00, response time: 16.59ms (99%), errors: 0.00, reconnects:  0.00
[  13s] threads: 1, tps: 71.00, reads: 994.00, writes: 282.00, response time: 19.42ms (99%), errors: 0.00, reconnects:  0.00
[  14s] threads: 1, tps: 71.00, reads: 994.00, writes: 286.00, response time: 17.14ms (99%), errors: 0.00, reconnects:  0.00
[  15s] threads: 1, tps: 70.00, reads: 980.02, writes: 280.01, response time: 18.25ms (99%), errors: 0.00, reconnects:  0.00
[  16s] threads: 1, tps: 71.00, reads: 994.00, writes: 281.00, response time: 19.37ms (99%), errors: 0.00, reconnects:  0.00
[  17s] threads: 1, tps: 70.00, reads: 972.00, writes: 279.00, response time: 19.86ms (99%), errors: 0.00, reconnects:  0.00
[  18s] threads: 1, tps: 71.00, reads: 1001.97, writes: 287.99, response time: 18.60ms (99%), errors: 0.00, reconnects:  0.00
[  19s] threads: 1, tps: 71.00, reads: 994.00, writes: 284.00, response time: 18.86ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1, tps: 71.00, reads: 994.00, writes: 284.00, response time: 17.30ms (99%), errors: 0.00, reconnects:  0.00
[  21s] threads: 1, tps: 70.00, reads: 976.01, writes: 276.00, response time: 22.81ms (99%), errors: 0.00, reconnects:  0.00
[  22s] threads: 1, tps: 70.00, reads: 984.01, writes: 283.00, response time: 20.19ms (99%), errors: 0.00, reconnects:  0.00
[  23s] threads: 1, tps: 70.00, reads: 979.98, writes: 276.99, response time: 18.89ms (99%), errors: 0.00, reconnects:  0.00
[  24s] threads: 1, tps: 70.00, reads: 980.00, writes: 281.00, response time: 21.44ms (99%), errors: 0.00, reconnects:  0.00
[  25s] threads: 1, tps: 70.00, reads: 979.99, writes: 283.00, response time: 18.36ms (99%), errors: 0.00, reconnects:  0.00
[  26s] threads: 1, tps: 71.00, reads: 992.03, writes: 280.01, response time: 17.96ms (99%), errors: 0.00, reconnects:  0.00
[  27s] threads: 1, tps: 71.00, reads: 995.98, writes: 283.99, response time: 17.15ms (99%), errors: 0.00, reconnects:  0.00
[  28s] threads: 1, tps: 71.00, reads: 990.02, writes: 284.01, response time: 19.92ms (99%), errors: 0.00, reconnects:  0.00
[  29s] threads: 1, tps: 71.00, reads: 997.97, writes: 287.99, response time: 18.22ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1, tps: 70.00, reads: 977.02, writes: 276.01, response time: 19.68ms (99%), errors: 0.00, reconnects:  0.00
[  31s] threads: 1, tps: 67.00, reads: 940.98, writes: 268.00, response time: 21.43ms (99%), errors: 0.00, reconnects:  0.00
[  32s] threads: 1, tps: 69.00, reads: 956.02, writes: 276.01, response time: 18.88ms (99%), errors: 0.00, reconnects:  0.00
[  33s] threads: 1, tps: 69.00, reads: 967.00, writes: 276.00, response time: 20.62ms (99%), errors: 0.00, reconnects:  0.00
[  34s] threads: 1, tps: 69.00, reads: 975.00, writes: 279.00, response time: 19.00ms (99%), errors: 0.00, reconnects:  0.00
[  35s] threads: 1, tps: 70.00, reads: 979.00, writes: 277.00, response time: 19.35ms (99%), errors: 0.00, reconnects:  0.00
[  36s] threads: 1, tps: 71.00, reads: 988.98, writes: 283.99, response time: 19.02ms (99%), errors: 0.00, reconnects:  0.00
[  37s] threads: 1, tps: 71.00, reads: 989.02, writes: 284.01, response time: 19.16ms (99%), errors: 0.00, reconnects:  0.00
[  38s] threads: 1, tps: 70.00, reads: 982.00, writes: 280.00, response time: 19.02ms (99%), errors: 0.00, reconnects:  0.00
[  39s] threads: 1, tps: 69.00, reads: 967.98, writes: 275.99, response time: 18.21ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 1, tps: 69.00, reads: 973.02, writes: 280.00, response time: 21.60ms (99%), errors: 0.00, reconnects:  0.00
[  41s] threads: 1, tps: 71.00, reads: 982.00, writes: 280.00, response time: 21.55ms (99%), errors: 0.00, reconnects:  0.00
[  42s] threads: 1, tps: 68.00, reads: 963.97, writes: 275.99, response time: 20.00ms (99%), errors: 0.00, reconnects:  0.00
[  43s] threads: 1, tps: 69.00, reads: 966.01, writes: 276.00, response time: 20.08ms (99%), errors: 0.00, reconnects:  0.00
[  44s] threads: 1, tps: 70.00, reads: 976.98, writes: 275.99, response time: 19.48ms (99%), errors: 0.00, reconnects:  0.00
[  45s] threads: 1, tps: 71.00, reads: 994.02, writes: 284.01, response time: 19.83ms (99%), errors: 0.00, reconnects:  0.00
[  46s] threads: 1, tps: 71.00, reads: 992.02, writes: 284.01, response time: 19.48ms (99%), errors: 0.00, reconnects:  0.00
[  47s] threads: 1, tps: 70.00, reads: 983.99, writes: 280.00, response time: 21.06ms (99%), errors: 0.00, reconnects:  0.00
[  48s] threads: 1, tps: 69.00, reads: 963.98, writes: 276.00, response time: 18.59ms (99%), errors: 0.00, reconnects:  0.00
[  49s] threads: 1, tps: 70.00, reads: 970.03, writes: 280.01, response time: 21.49ms (99%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1, tps: 69.00, reads: 979.00, writes: 280.00, response time: 20.14ms (99%), errors: 0.00, reconnects:  0.00
[  51s] threads: 1, tps: 70.00, reads: 973.00, writes: 276.00, response time: 20.17ms (99%), errors: 0.00, reconnects:  0.00
[  52s] threads: 1, tps: 71.00, reads: 986.97, writes: 283.99, response time: 19.54ms (99%), errors: 0.00, reconnects:  0.00
[  53s] threads: 1, tps: 72.00, reads: 1012.03, writes: 288.01, response time: 18.44ms (99%), errors: 0.00, reconnects:  0.00
[  54s] threads: 1, tps: 69.00, reads: 975.97, writes: 279.99, response time: 20.66ms (99%), errors: 0.00, reconnects:  0.00
[  55s] threads: 1, tps: 66.00, reads: 922.01, writes: 260.00, response time: 22.31ms (99%), errors: 0.00, reconnects:  0.00
[  56s] threads: 1, tps: 67.00, reads: 940.02, writes: 268.00, response time: 23.15ms (99%), errors: 0.00, reconnects:  0.00
[  57s] threads: 1, tps: 70.00, reads: 979.98, writes: 279.99, response time: 18.70ms (99%), errors: 0.00, reconnects:  0.00
[  58s] threads: 1, tps: 69.00, reads: 966.00, writes: 280.00, response time: 19.50ms (99%), errors: 0.00, reconnects:  0.00
[  59s] threads: 1, tps: 70.00, reads: 977.03, writes: 276.01, response time: 18.60ms (99%), errors: 0.00, reconnects:  0.00
[  60s] threads: 1, tps: 68.00, reads: 942.96, writes: 271.99, response time: 20.68ms (99%), errors: 0.00, reconnects:  0.00
[  61s] threads: 1, tps: 69.00, reads: 978.02, writes: 278.01, response time: 16.74ms (99%), errors: 0.00, reconnects:  0.00
[  62s] threads: 1, tps: 70.00, reads: 967.01, writes: 278.00, response time: 19.50ms (99%), errors: 0.00, reconnects:  0.00
[  63s] threads: 1, tps: 67.00, reads: 949.01, writes: 268.00, response time: 19.65ms (99%), errors: 0.00, reconnects:  0.00
[  64s] threads: 1, tps: 69.00, reads: 968.00, writes: 276.00, response time: 19.16ms (99%), errors: 0.00, reconnects:  0.00
[  65s] threads: 1, tps: 71.00, reads: 986.98, writes: 283.99, response time: 19.52ms (99%), errors: 0.00, reconnects:  0.00
